Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,No,60/40,LR,"Liblinear solver, standard C",Yes,Yes,74.07067770073809,0.5931311500805065
Spanish,No,60/40,LR,"Liblinear solver, standard C",Yes,No,74.13241079907746,0.5738146654093588
Spanish,No,60/40,LR,"Liblinear solver, standard C",No,Yes,73.56519794229479,0.5088582310528225
Spanish,No,60/40,LR,"Liblinear solver, standard C",No,No,74.02048568715236,0.5424401245967282
Spanish,No,60/40,LR,"Liblinear solver, large C",Yes,Yes,72.9531051964512,0.5088441059816581
Spanish,No,60/40,LR,"Liblinear solver, large C",Yes,No,73.2926332926333,0.5528214830792271
Spanish,No,60/40,LR,"Liblinear solver, large C",No,Yes,72.4916126146276,0.5763812110799752
Spanish,No,60/40,LR,"Liblinear solver, large C",No,No,72.70316103649436,0.5975087223536871
Spanish,No,60/40,LR,"Lbfgs solver, small C",Yes,Yes,72.12629538507419,0.8232749452665195
Spanish,No,60/40,LR,"Lbfgs solver, small C",Yes,No,68.80341880341881,0.9135260844606531
Spanish,No,60/40,LR,"Lbfgs solver, small C",No,Yes,73.64348020577052,0.5541418764369068
Spanish,No,60/40,LR,"Lbfgs solver, small C",No,No,73.54700854700855,0.5763379785883959
Spanish,No,60/40,LR,"Lbfgs solver, standard C",Yes,Yes,74.23693431745322,0.5567547422645529
Spanish,No,60/40,LR,"Lbfgs solver, standard C",Yes,No,74.21584588251255,0.46960338195617896
Spanish,No,60/40,LR,"Lbfgs solver, standard C",No,Yes,73.80675464101991,0.5004149572099756
Spanish,No,60/40,LR,"Lbfgs solver, standard C",No,No,74.04083570750238,0.449561996052944
Spanish,No,60/40,LR,"Lbfgs solver, large C",Yes,Yes,73.03660627749198,0.5552034121671946
Spanish,No,60/40,LR,"Lbfgs solver, large C",Yes,No,73.41541174874509,0.5705139611639265
Spanish,No,60/40,LR,"Lbfgs solver, large C",No,Yes,72.18668455975546,0.495474332365781
Spanish,No,60/40,LR,"Lbfgs solver, large C",No,No,72.64278930945598,0.48243842151190613
Spanish,No,70/30,Naive Bayes,Multinomial,Yes,Yes,71.88289094343374,0.7186713374838247
Spanish,No,70/30,Naive Bayes,Multinomial,Yes,No,71.828540423223,0.6097511447298777
Spanish,No,70/30,Naive Bayes,Multinomial,No,Yes,71.5359379660006,0.9321803256587468
Spanish,No,70/30,Naive Bayes,Multinomial,No,No,71.71459576776994,0.5602946505758982
Spanish,No,70/30,Naive Bayes,Bernoulli,Yes,Yes,71.06968883586838,0.6763610523293367
Spanish,No,70/30,Naive Bayes,Bernoulli,Yes,No,71.10779526134925,0.5324173108782108
Spanish,No,70/30,Naive Bayes,Bernoulli,No,Yes,71.39278258276171,0.7137772837170469
Spanish,No,70/30,Naive Bayes,Bernoulli,No,No,71.462289744981,0.6599917027881487
Spanish,No,70/30,SVM,"Linear kernel, small C",Yes,Yes,70.10836067203499,0.8328639516036938
Spanish,No,70/30,SVM,"Linear kernel, small C",Yes,No,66.84753119913185,0.874963902664121
Spanish,No,70/30,SVM,"Linear kernel, small C",No,Yes,74.19922457500745,0.48976783627828446
Spanish,No,70/30,SVM,"Linear kernel, small C",No,No,74.21685657442575,0.6583026486135237
Spanish,No,70/30,SVM,"Linear kernel, standard C",Yes,Yes,73.91589621234715,0.762767104867203
